Timestamp,Date,Time,Type, Pressure,FrontAngle,SideAngle,UpAngle
1459358326.276564,30.03.16,10:18:46.277,Fore,97,106,165,196
1459358325.678613,30.03.16,10:18:45.679,Fore,100,102,148,230
1459358325.619395,30.03.16,10:18:45.619,Fore,100,255,91,208
1459358325.047367,30.03.16,10:18:45.047,Fore,95,68,23,169
1459358324.986808,30.03.16,10:18:44.987,Fore,100,68,23,169
1459358324.928161,30.03.16,10:18:44.928,Fore,63,0,104,0
1459358324.328835,30.03.16,10:18:44.329,Fore,100,142,185,255
1459358324.292408,30.03.16,10:18:44.292,Fore,100,142,185,255
1459358323.667146,30.03.16,10:18:43.667,Fore,87,103,133,218
1459358323.611892,30.03.16,10:18:43.612,Fore,100,90,256,255
1459358323.581491,30.03.16,10:18:43.581,Fore,100,90,256,255
1459358323.031317,30.03.16,10:18:43.031,Fore,63,99,122,196
1459358322.977678,30.03.16,10:18:42.978,Fore,100,99,122,196
1459358322.918733,30.03.16,10:18:42.919,Fore,100,255,1,128
1459358322.886426,30.03.16,10:18:42.886,Fore,100,255,1,128
1459358322.282591,30.03.16,10:18:42.283,Fore,100,102,122,208
1459358322.228147,30.03.16,10:18:42.228,Fore,100,0,89,0
1459358321.628062,30.03.16,10:18:41.628,Fore,98,0,1,255
1459358321.569029,30.03.16,10:18:41.569,Fore,100,0,1,255
1459358321.539754,30.03.16,10:18:41.540,Fore,76,0,78,20
1459358320.967604,30.03.16,10:18:40.968,Fore,71,94,128,195
1459358320.932882,30.03.16,10:18:40.933,Fore,100,94,128,195
1459358320.877204,30.03.16,10:18:40.877,Fore,100,0,256,239
1459358320.332184,30.03.16,10:18:40.332,Fore,54,117,128,205
1459358320.278429,30.03.16,10:18:40.278,Fore,100,117,93,196
1459358320.236733,30.03.16,10:18:40.237,Fore,100,117,93,196
1459358319.637947,30.03.16,10:18:39.638,Fore,34,124,106,237
1459358319.583529,30.03.16,10:18:39.584,Fore,100,108,256,195
1459358319.526891,30.03.16,10:18:39.527,Fore,90,108,256,195
1459358318.967878,30.03.16,10:18:38.968,Fore,13,93,139,202
1459358318.927519,30.03.16,10:18:38.928,Fore,100,93,139,202
1459358318.866454,30.03.16,10:18:38.866,Fore,100,0,256,250
1459358318.267556,30.03.16,10:18:38.268,Fore,17,93,167,193
1459358318.233617,30.03.16,10:18:38.234,Fore,100,93,167,193
1459358318.203730,30.03.16,10:18:38.204,Fore,100,0,99,8
1459358317.579003,30.03.16,10:18:37.579,Fore,96,161,227,227
1459358317.517348,30.03.16,10:18:37.517,Fore,97,161,227,227
1459358316.916378,30.03.16,10:18:36.916,Fore,61,98,119,224
1459358316.869778,30.03.16,10:18:36.870,Fore,100,73,170,156
1459358316.834150,30.03.16,10:18:36.834,Fore,89,73,170,156
1459358316.228114,30.03.16,10:18:36.228,Fore,66,115,124,234
1459358316.167557,30.03.16,10:18:36.168,Fore,100,255,1,243
1459358316.114815,30.03.16,10:18:36.115,Fore,96,255,1,243
1459358315.507630,30.03.16,10:18:35.508,Fore,100,97,200,180
1459358315.477246,30.03.16,10:18:35.477,Fore,100,97,200,180
1459358314.877011,30.03.16,10:18:34.877,Fore,100,112,124,235
1459358314.818530,30.03.16,10:18:34.819,Fore,100,128,1,255
1459358314.787162,30.03.16,10:18:34.787,Fore,23,128,1,255
1459358314.216584,30.03.16,10:18:34.217,Fore,100,103,81,187
