Timestamp,Date,Time,Type, Pressure,FrontAngle,SideAngle,UpAngle
1459359548.799374, 30.03.16,10:39:08.799,Heel, 100,0,167,252
1459359548.350061,30.03.16,10:39:08.350,Fore,54,102,128,204
1459359548.291355,30.03.16,10:39:08.291,Fore,100,102,128,196
1459359548.230870,30.03.16,10:39:08.231,Fore,100,102,128,196
1459359548.197140,30.03.16,10:39:08.197,Fore,100,102,139,190
1459359547.933951, 30.03.16,10:39:07.934,Heel, 19,57,1,196
1459359547.902761, 30.03.16,10:39:07.903,Heel, 100,57,1,196
1459359547.869379, 30.03.16,10:39:07.869,Heel, 100,0,171,0
1459359547.331839,30.03.16,10:39:07.332,Fore,100,106,109,201
1459359547.299315,30.03.16,10:39:07.299,Fore,100,106,109,201
1459359547.242394,30.03.16,10:39:07.242,Fore,100,100,129,192
1459359546.969344, 30.03.16,10:39:06.969,Heel, 100,70,32,47
1459359546.909613, 30.03.16,10:39:06.910,Heel, 100,70,32,47
1459359546.849515, 30.03.16,10:39:06.850,Heel, 85,0,93,154
1459359546.397750,30.03.16,10:39:06.398,Fore,98,123,151,226
1459359546.341407,30.03.16,10:39:06.341,Fore,100,102,126,195
1459359546.281550,30.03.16,10:39:06.282,Fore,100,102,126,195
1459359546.250427,30.03.16,10:39:06.250,Fore,83,102,126,187
1459359546.008610, 30.03.16,10:39:06.009,Heel, 90,0,126,243
1459359545.953448, 30.03.16,10:39:05.953,Heel, 100,255,256,190
1459359545.919021, 30.03.16,10:39:05.919,Heel, 100,255,256,190
1459359545.382429,30.03.16,10:39:05.382,Fore,100,100,125,207
1459359545.351252,30.03.16,10:39:05.351,Fore,100,100,131,196
1459359545.291857,30.03.16,10:39:05.292,Fore,100,100,131,196
1459359545.232574,30.03.16,10:39:05.233,Fore,38,100,131,190
1459359545.024391, 30.03.16,10:39:05.024,Heel, 100,59,215,211
1459359544.960398, 30.03.16,10:39:04.960,Heel, 100,1,60,0
1459359544.876012, 30.03.16,10:39:04.876,Heel, 100,1,60,0
1459359544.390663,30.03.16,10:39:04.391,Fore,100,97,118,199
1459359544.333114,30.03.16,10:39:04.333,Fore,100,97,131,192
1459359544.299218,30.03.16,10:39:04.299,Fore,91,97,131,192
1459359543.980766, 30.03.16,10:39:03.981,Heel, 100,72,1,12
1459359543.947275, 30.03.16,10:39:03.947,Heel, 100,0,162,12
1459359543.912336, 30.03.16,10:39:03.912,Heel, 100,0,162,12
1459359543.460845,30.03.16,10:39:03.461,Fore,84,103,115,188
1459359543.375464,30.03.16,10:39:03.375,Fore,100,103,115,188
1459359543.341133,30.03.16,10:39:03.341,Fore,100,96,137,188
1459359543.280257,30.03.16,10:39:03.280,Fore,100,96,137,188
1459359542.988665, 30.03.16,10:39:02.989,Heel, 100,41,1,188
1459359542.954397, 30.03.16,10:39:02.954,Heel, 100,0,135,36
1459359542.919891, 30.03.16,10:39:02.920,Heel, 100,0,135,36
1459359542.441193,30.03.16,10:39:02.441,Fore,67,102,128,201
1459359542.380666,30.03.16,10:39:02.381,Fore,100,102,128,201
1459359542.324137,30.03.16,10:39:02.324,Fore,100,94,128,185
1459359542.291951,30.03.16,10:39:02.292,Fore,100,94,128,185
1459359542.230824,30.03.16,10:39:02.231,Fore,32,94,137,185
1459359541.994590, 30.03.16,10:39:01.995,Heel, 100,87,1,182
1459359541.961024, 30.03.16,10:39:01.961,Heel, 100,87,1,182
1459359541.900573, 30.03.16,10:39:01.901,Heel, 99,0,155,10
1459359541.421887,30.03.16,10:39:01.422,Fore,100,105,126,202
1459359541.360376,30.03.16,10:39:01.360,Fore,100,105,126,202
1459359541.276794,30.03.16,10:39:01.277,Fore,100,98,126,188
1459359541.243845,30.03.16,10:39:01.244,Fore,41,98,126,188
1459359540.979340, 30.03.16,10:39:00.979,Heel, 96,79,1,172
1459359540.944903, 30.03.16,10:39:00.945,Heel, 100,79,1,172
1459359540.911286, 30.03.16,10:39:00.911,Heel, 100,0,163,17
1459359540.398934,30.03.16,10:39:00.399,Fore,100,100,124,198
1459359540.342948,30.03.16,10:39:00.343,Fore,100,100,124,198
1459359540.311367,30.03.16,10:39:00.311,Fore,100,100,124,190
1459359540.221867,30.03.16,10:39:00.222,Fore,100,100,124,190
1459359540.012652, 30.03.16,10:39:00.013,Heel, 13,48,1,219
1459359539.926853, 30.03.16,10:38:59.927,Heel, 100,48,1,219
1459359539.891164, 30.03.16,10:38:59.891,Heel, 100,0,184,73
1459359539.380675,30.03.16,10:38:59.381,Fore,100,109,125,208
1459359539.324876,30.03.16,10:38:59.325,Fore,100,109,125,208
1459359539.292918,30.03.16,10:38:59.293,Fore,100,98,136,191
1459359538.997070, 30.03.16,10:38:58.997,Heel, 100,0,107,255
1459359538.961808, 30.03.16,10:38:58.962,Heel, 100,0,107,255
1459359538.879946, 30.03.16,10:38:58.880,Heel, 100,0,107,66
1459359538.370032,30.03.16,10:38:58.370,Fore,100,109,128,207
1459359538.333393,30.03.16,10:38:58.333,Fore,100,109,128,207
1459359538.271097,30.03.16,10:38:58.271,Fore,100,98,128,187
1459359538.236620,30.03.16,10:38:58.237,Fore,68,98,128,187
1459359537.942245, 30.03.16,10:38:57.942,Heel, 89,0,31,255
1459359537.909254, 30.03.16,10:38:57.909,Heel, 89,0,190,76
1459359537.371609,30.03.16,10:38:57.372,Fore,100,100,122,201
1459359537.324607,30.03.16,10:38:57.325,Fore,100,100,122,201
1459359537.280798,30.03.16,10:38:57.281,Fore,100,100,128,189
1459359537.220360,30.03.16,10:38:57.220,Fore,21,100,128,189
1459359537.007586, 30.03.16,10:38:57.008,Heel, 80,114,1,45
1459359536.925572, 30.03.16,10:38:56.926,Heel, 100,114,1,45
1459359536.891941, 30.03.16,10:38:56.892,Heel, 100,0,60,161
1459359536.380971,30.03.16,10:38:56.381,Fore,100,99,128,188
1459359536.320461,30.03.16,10:38:56.320,Fore,100,99,128,188
1459359536.265506,30.03.16,10:38:56.266,Fore,100,99,128,188
1459359536.231939,30.03.16,10:38:56.232,Fore,52,99,128,188
1459359535.992541, 30.03.16,10:38:55.993,Heel, 100,0,22,234
1459359535.958695, 30.03.16,10:38:55.959,Heel, 100,0,107,124
1459359535.360913,30.03.16,10:38:55.361,Fore,45,100,192,200
1459359535.235281, 30.03.16,10:38:55.235,Heel, 100,54,162,42
1459359534.639667,30.03.16,10:38:54.640,Fore,98,59,47,161
1459359534.581738,30.03.16,10:38:54.582,Fore,100,59,47,161
1459359534.522064,30.03.16,10:38:54.522,Fore,57,0,38,0
1459359533.981964,30.03.16,10:38:53.982,Fore,100,106,116,226
1459359533.925959,30.03.16,10:38:53.926,Fore,100,0,1,155
1459359533.894089,30.03.16,10:38:53.894,Fore,92,0,1,155
1459359533.320824,30.03.16,10:38:53.321,Fore,100,99,169,184
1459359533.267254,30.03.16,10:38:53.267,Fore,100,99,169,184
1459359533.236194,30.03.16,10:38:53.236,Fore,71,0,1,0
1459359532.666037,30.03.16,10:38:52.666,Fore,100,96,127,219
1459359532.632093,30.03.16,10:38:52.632,Fore,100,255,1,112
1459359532.574514,30.03.16,10:38:52.575,Fore,87,255,1,112
1459359532.030875,30.03.16,10:38:52.031,Fore,92,149,117,248
1459359531.972810,30.03.16,10:38:51.973,Fore,100,149,117,248
1459359531.920931,30.03.16,10:38:51.921,Fore,78,0,28,0
1459359531.370833,30.03.16,10:38:51.371,Fore,98,98,117,210
1459359531.318264,30.03.16,10:38:51.318,Fore,100,0,256,0
1459359531.286123,30.03.16,10:38:51.286,Fore,69,0,256,0
1459359530.736367,30.03.16,10:38:50.736,Fore,94,114,256,198
1459359530.681341,30.03.16,10:38:50.681,Fore,100,114,256,198
1459359530.622244,30.03.16,10:38:50.622,Fore,5,0,79,8
1459359530.083271,30.03.16,10:38:50.083,Fore,78,109,173,220
1459359530.020358,30.03.16,10:38:50.020,Fore,100,109,173,220
1459359529.970434,30.03.16,10:38:49.970,Fore,53,0,256,255
1459359529.420629,30.03.16,10:38:49.421,Fore,94,128,130,246
1459359529.365256,30.03.16,10:38:49.365,Fore,100,63,1,168
1459359529.334402,30.03.16,10:38:49.334,Fore,82,63,1,168
1459359528.788893,30.03.16,10:38:48.789,Fore,100,111,31,203
1459359528.730751,30.03.16,10:38:48.731,Fore,100,111,31,203
1459359528.676732,30.03.16,10:38:48.677,Fore,89,0,57,0
1459359528.131399,30.03.16,10:38:48.131,Fore,99,124,148,245
1459359528.076888,30.03.16,10:38:48.077,Fore,100,25,1,36
1459359528.017218,30.03.16,10:38:48.017,Fore,90,25,1,36
1459359527.470349,30.03.16,10:38:47.470,Fore,100,104,70,0
1459359527.416558,30.03.16,10:38:47.417,Fore,100,104,70,0
1459359527.380976,30.03.16,10:38:47.381,Fore,81,0,22,0
1459359526.817632,30.03.16,10:38:46.818,Fore,94,104,70,157
1459359526.785033,30.03.16,10:38:46.785,Fore,100,0,256,157
1459359526.720261,30.03.16,10:38:46.720,Fore,39,0,256,157
1459359526.180890,30.03.16,10:38:46.181,Fore,100,168,1,203
1459359526.134265,30.03.16,10:38:46.134,Fore,100,168,1,203
1459359525.519996,30.03.16,10:38:45.520,Fore,100,111,96,219
1459359525.468262,30.03.16,10:38:45.468,Fore,100,0,54,0
1459359525.433427,30.03.16,10:38:45.433,Fore,15,0,54,0
1459359524.864932,30.03.16,10:38:44.865,Fore,100,0,1,255
1459359524.832932,30.03.16,10:38:44.833,Fore,100,0,1,255
1459359524.262763,30.03.16,10:38:44.263,Fore,100,77,46,165
1459359524.169760,30.03.16,10:38:44.170,Fore,100,77,46,165
1459359524.132153,30.03.16,10:38:44.132,Fore,14,0,35,0
1459359523.570573,30.03.16,10:38:43.571,Fore,100,118,109,234
1459359523.521269,30.03.16,10:38:43.521,Fore,100,0,256,255
1459359522.971351,30.03.16,10:38:42.971,Fore,66,127,94,230
1459359522.911960,30.03.16,10:38:42.912,Fore,100,95,1,170
1459359522.857535,30.03.16,10:38:42.858,Fore,97,95,1,170
1459359522.315753,30.03.16,10:38:42.316,Fore,90,69,60,173
1459359522.282133,30.03.16,10:38:42.282,Fore,100,69,60,173
1459359522.220634,30.03.16,10:38:42.221,Fore,87,0,33,0
1459359521.655046,30.03.16,10:38:41.655,Fore,100,114,152,251
1459359521.651005,30.03.16,10:38:41.651,Fore,100,255,1,251
1459359521.589878,30.03.16,10:38:41.590,Fore,65,255,1,251
1459359521.020838,30.03.16,10:38:41.021,Fore,93,27,241,175
1459359520.964596,30.03.16,10:38:40.965,Fore,100,27,241,175
1459359520.906117,30.03.16,10:38:40.906,Fore,46,0,16,2
1459359520.366645,30.03.16,10:38:40.367,Fore,100,90,101,199
1459359520.310270,30.03.16,10:38:40.310,Fore,100,0,256,128
1459359520.276511,30.03.16,10:38:40.277,Fore,64,0,256,128
1459359519.727792,30.03.16,10:38:39.728,Fore,84,143,1,253
1459359519.670326,30.03.16,10:38:39.670,Fore,100,143,1,253
1459359519.613690,30.03.16,10:38:39.614,Fore,57,0,44,0
1459359519.070017,30.03.16,10:38:39.070,Fore,99,104,152,221
1459359519.010788,30.03.16,10:38:39.011,Fore,100,0,256,0
1459359518.955433,30.03.16,10:38:38.955,Fore,70,0,256,0
1459359518.411823,30.03.16,10:38:38.412,Fore,94,126,86,230
1459359518.352893,30.03.16,10:38:38.353,Fore,100,79,1,180
1459359518.323905,30.03.16,10:38:38.324,Fore,87,79,1,180
1459359517.776937,30.03.16,10:38:37.777,Fore,100,107,59,212
1459359517.719820,30.03.16,10:38:37.720,Fore,100,107,59,212
1459359517.662440,30.03.16,10:38:37.662,Fore,34,0,44,0
1459359517.119912,30.03.16,10:38:37.120,Fore,100,104,103,218
1459359517.063858,30.03.16,10:38:37.064,Fore,100,0,256,125
1459359517.031553,30.03.16,10:38:37.032,Fore,18,0,256,125
1459359516.460296,30.03.16,10:38:36.460,Fore,100,132,113,242
1459359516.428275,30.03.16,10:38:36.428,Fore,100,132,113,242
1459359515.859759,30.03.16,10:38:35.860,Fore,60,107,164,216
